uid,sags_id,page_id,link,text_data,emner,sags_register_refs
11795,8-1890,18900116_16-7,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=7,"Efter Indstilling af Udvalget for Kasse og Regnskabsvæsenet af 10de d. M. efterbevilgede Byraadet paa Konto II 2 a 2 for 1889 et Beløb af 62 Kr. 50 Øre, der er medgaaet mere til Kæmnerens Kontorholdsudgifter i forrige Aar, end oprindelig paatænkt (Se Mødet den 13de Februar.)",Byraad.,"1890:20,22,34,49,162. side: 163#1890:22. side: 496#1890:22. side: 496#1890:22,36, side: 540"
11796,15-1890,18900116_16-7,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=7,"Arbejdernes Sygeforening havde i Skrivelse af 14de d. M. andraget om, at det sædvanlige aarlige Tilskud af Kommunens Kasse maatte blive udbetalt Foreningen for 1889 med 4 Kroner for 128 Medlemmer, hvis Skatteindtægt ikke er ansat til 1000 Kr., altsaa med 512 Kroner.
Man vedtog at anmode Udvalget for Gjennemgaaelse af Restancelister om at afgive Erklæring over denne Sag. (Se Mødet den 13de Februar.)",#Sundhedsvæsen.~Sygekasser (jfr. ”Foreninger” under ”foreningen af Haandværkere og Fabriksarbejdere”).,"1890:20,22,34,49,162. side: 163#1890:22. side: 496#1890:22. side: 496#1890:22,36, side: 540"
11797,16-1890,18900116_16-7,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=7,"Fra Udvalget for Skolevæsenet forelaa der følgende Indstilling af 12te d. M., som Byraadet tiltraadte:
""Efter at der den 8de og 9de d. M . er kaldet 2 nye Lærerinder ved Aarhus Skolevæsen, vil der i Følge Loven være at foretage en Oprykning fra yngst til ældre Lønning. Da en saadan sidst foregik, nemlig 1. Novbr. 1888, blev Forskjellen mellem de 2 Lønninger delt mellem Lærerinderne Frk. Tørsleff og Frk. Thiller, fordi deres Anciennitet var ens. Man vil derfor indstille, at der denne Gang forholdes ligesaa,",#Skole- og Undervisningsvæsen.~Lærerpersonalets Lønninger og Emolumenter.,"1890:20,22,34,49,162. side: 163#1890:22. side: 496#1890:22. side: 496#1890:22,36, side: 540"
11798,16-1890,18900116_16-8,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=8,"hvorved de begge ville komme paa ældst Lønning, dog saaledes, at deres Pengeløn, i Overensstemmelse med de sædvanlig fulgte Regler sættes til 300 Kr.
Saafremt dette Forslag vedtages, vil man endvidere indstille, at de derved besparede 200 Kr. tildeles de i Maj 1888 ansatte Lærerinder, Frk. Andersen og Schmith med 100 Kr. til hver, hvorved de ville opnaa normal yngst Lønning.""",,1890:23. side: 312#1890:23. side: 376#1890:23. side: 478#1890:23. side: 482#1890:23. side: 500
11799,26-1890,18900116_16-8,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=8,"Efter derom fremsat Forslag af Udvalget for Skolevæsenet, der meddelte, at Ministeriet for Kirke og Undervisningsvæsenet havde tilstillet Kommunens Skolevæsen som Gave 5 Gjengivelser af Johannesgruppen, bifaldtes det, at hver af Kommunens 5 offentlige Skoler heraf erholder 1 Exemplar.",#Skole- og Undervisningsvæsen.~Skole- og Undervisningsvæsen i Almindelighed.,1890:23. side: 312#1890:23. side: 376#1890:23. side: 478#1890:23. side: 482#1890:23. side: 500
11820,4-1890,18900130_23-7,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=7,"Fra Gartner R. A. Boisen forelaa der paa ny Andragende om Erstatning for den ham ved Anlægget af Boulevarden fra Fodfolkskasernen til Brendstrupvejen i hans Bedrift som Gartner tilføiede Skade, idet han henviste til en af ham af Kommerceraad Gerdes som Lejer af den paagjældende Jordlod meddelt Erklæring , hvori Gerdes udtaler, at han ganske slutter sig til Andragerens Forlangende og overdrager det til ham som den faktisk skadelidende at gjøre den Fordring gjældende overfor Byraadet, som han ellers skylder ham at gjøre gjældende.
Selv med denne Erklæring for Øje fandt Byraadet Andrageren ubeføjet til at optræde med nogen Erstatningsfordring overfor Kommunen i den omhandlede Anledning, hvorfor man besluttede at svare ham, at man ikke fandt Anledning til at fravige sin med Hensyn til hans da foreliggende Andragende i Mødet den 16de d. M. tagne Beslutning. 
(Se Mødet den 27de Februar under Sag 79/90.)",#Jorder.~Leje af Jordlodder og Grunde.,"1890:29,80, side: 123#1890:14,29. side: 233#1890:14,29. side: 244#1890:21,29,53,101. side: 295#1890:29. side: 475"
11821,17-1890,18900130_23-7,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=7,"Til Efterretning toges Aarhus Stiftsamts Skrivelse af 14de d.M., hvori det meddeles, at Indenrigsministeriet i Henhold til Lov om Kjøbstadskommunernes Styrelse m. v. af 26de Maj 1868 § 24 har udnævnt Justitsraad E. J. Flagstad,R. af D., til Overligningskommissær, og Kammerraad Sagfører Esmann, R, af D., til Suppleant for Aarhus Kommune.",#Skatter og Afgifter.~Ligningskommissær. Overligningskommissær.,"1890:29,80, side: 123#1890:14,29. side: 233#1890:14,29. side: 244#1890:21,29,53,101. side: 295#1890:29. side: 475"
11822,23-1890,18900130_23-7,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=7,"Paa Grund af den i trykt Cirkulære af 13de d. M. fra Bestyrelsen for ""Den danske Kjøbstadsforening"" derom fremkommen Begjæring meddelte Byraadet for sit Vedkommende Samtykke til, at Foreningen for at blive sat i Stand til at udgive det af den paatænkte Tidsskrift under Benævnelse",Foreninger.~Købstadsforeningen.,"1890:29,80, side: 123#1890:14,29. side: 233#1890:14,29. side: 244#1890:21,29,53,101. side: 295#1890:29. side: 475"
11823,23-1890,18900130_23-8,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=8,"""Kjøbstadforeningens Tidsskrift"" med det i Cirkulæret omtalte Indhold og paa den der omhandlende Maade, til Dækning af Udgifterne herved udskriver det fornødne Bidrag hos sine Medlemmer efter den gjældende Norm, for saa vidt det ordinære Bidrag af 6 Kr. pr 1000 Indbyggere ikke kan tilstrække. (Se Mødet den 17de April.)",,"1890:30. side: 64#1890:30. side: 98#1890:30,36,93,229. side: 189#1890:30. side: 410#1890:30,170, side: 471"
11824,24-1890,18900130_23-8,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=8,"En fra Politimesteren under 18de d. M. fremkommen Indstilling angaaende Færdselsforholdene i St. Olufsgade, udfor Snedkermester R. Christiansens Ejendom, Nr, 2, hvor Arbejdsvogne holde til Af-/Paalæsning paa Fortovet ud for det derværende Pakhus, besluttede man at tilstille Udvalget for Brolægningsvæsenet til Erklæring.
(Se Mødet den 13de Februar.)",#Gader.~Færdslen.,"1890:30. side: 64#1890:30. side: 98#1890:30,36,93,229. side: 189#1890:30. side: 410#1890:30,170, side: 471"
11825,28-1890,18900130_23-8,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=8,Et fra en Værtshusholdersenke foreliggende Andragende om Eftergivelse af Kommunens Andel af en af hende paahvilende Restance af Brændevinsafgift kunde ikke bevilges.,#Skatter og Afgifter.~Brændevinsafgift.,"1890:30. side: 64#1890:30. side: 98#1890:30,36,93,229. side: 189#1890:30. side: 410#1890:30,170, side: 471"
11826,29-1890,18900130_23-8,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=8,"Efter Indstilling af Udvalget for Fattigvæsenet i Skrivelse af 23de d. M. bifaldt Byraadet, at der til den her i Kommunen indtil sit fyldte 18de Aar forsørgelsesberettigede, men i Lübec fødte og boende og der formentlig efter nysnævnte Tidspunkt forsørgelsesberettigede Dreng E. C. B´s Anbringelse i en derværende Opdragellsesanstalt udredes af Kommunens Kasse, det fornødne Bidrag, der er anslaaet tiil 270 Reichmark eller ca. 240 Kroner. Drengen, der tillige med sin Moder og sine Søskende hidtiler bleven underholdt i Lübeck af det derværende Fattigvæsen, er nemlig nu af de derværende stedlige Autoriteter paa Grund af forøvet Tyveri forlangt modtaget her, hvis ikke den førnævnte Ordning, der finder Sted under Medvirkning af disse Autoriteter, kommer i Stand, hvorfor Byraadet ansaa det heldigst for Drengen, at han forbliver i de tilvante Forhold, ligesom ogsaa denne Ordning af Sagen er den for Kommunen mindst byrdefulde.",#Fattigvæsen.~Fattigvæsen i almindelighed.#Opdragelsesanstalt.,"1890:30. side: 64#1890:30. side: 98#1890:30,36,93,229. side: 189#1890:30. side: 410#1890:30,170, side: 471"
11827,32-1890,18900130_23-8,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=8,"Efter derom foreliggende Andragende, der er anbefalet af Bygningskommissionen, tillodes det Skrædder N. R. Jensen at lægge Tagpap paa et Halvtag i hans Ejendom, Fiskergade Nr. 49, paa Betingelse af, at han underkaster sig Bygningskommissionens Skjøn saavel i Henseende til Materialet,",Bygningsvæsen.~Dispensationer fra Bygningslovgivningen.,"1890:30. side: 64#1890:30. side: 98#1890:30,36,93,229. side: 189#1890:30. side: 410#1890:30,170, side: 471"
11828,32-1890,18900130_23-9,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=9,"der benyttes, som i Henseende til Maaden, hvorpaa det oplægges.",,"1890:31,37. side: 48#1890:31,58,111. side: 52#1890:31. side: 64#1890:31. side: 248#1890:31,90, side: 438"
11829,33-1890,18900130_23-9,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=9,"Fra Oversergent J. Sørensen forelaa der Andragende om Erstatning for Beskadigelsen af et af ham tilhørende Plankeværk, dervar bleven væltet og ødelagt ved den Natten imellem den 26de og 27de d. M. i Bager Zeuners Ejendom paa Østergade stedfunden Ildebrand. Da Brandinspektøren i sin over Sagen afgivne Erklæring havde oplyst, at Plankeværket ikke er nedrevet af Brandvæsenet, der heller ikke har givet Ordre til dets Nedbrydning, havde Andrageren allerede af den Grund efter Lov af 21de Marts 1873 §§ 26 og 27 intet Krav paa Kommunen i den omhandlede Anledning, hvorfor hans Andragende ikke kunde bevilges.(Se Mødet den 13de Februar.)",Brandvæsen.~Brandredskaber.,"1890:31,37. side: 48#1890:31,58,111. side: 52#1890:31. side: 64#1890:31. side: 248#1890:31,90, side: 438"
11830,34-1890,18900130_23-9,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=9,"En fra Udvalget for Byens og Omegns Forskjønnelse under 28 d. M. fremkommen Begjæring om Anvisning af Plads til den nye Planteskole, hvotil der paa Konto XIV 9 d i Overslaget for indevæærende Aar er opført Bidrag, blev henvist til Erklæring af Udvalget for Markvæsenet.
(Se Mødet den 13de Marts.)",#Byens og dens Omegns Forskønnelse.,"1890:31,37. side: 48#1890:31,58,111. side: 52#1890:31. side: 64#1890:31. side: 248#1890:31,90, side: 438"
11831,37-1890,18900130_23-9,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=9,"Til Efterretning og videre Bekjendtgjørelse for Udvalget for Fattigvæsenet toges en Skrivelse fra Aarhus Stiftsamt af 28de d. M., hvori det meddeles, at samme i Henhold til Indenrigsminiisteriets Resolution af 25de d. M. under 28de næstefter har udfærdiget et extraordnært Hjemstedsbevis for Carl Aug. Chr. Nielsen, lydende paa Aarhus Kommune.",#Hjemstedsret.,"1890:31,37. side: 48#1890:31,58,111. side: 52#1890:31. side: 64#1890:31. side: 248#1890:31,90, side: 438"
11832,38-1890,18900130_23-9,https://storage.googleapis.com/openaws-webonly/18900130_23.pdf#page=9,"Efter derom foreliggende Andragende, der er anbefalet af Bygningskommissionen, tillodes det Husejer J. Hoffmann at lægge Tagpap paa et Sidehus i hans Ejendom, Frederiksallé Nr. 79, paa Betingelse af, at han underkaster sig Bygningskommissionens Skjøn saavel i Henseende til Materialet, der benyttes, som i Henseende til Maaden, hvorpaa det oplægges.",#Bygningsvæsen.~Dispensationer fra Bygningslovgivningen.,"1890:31,37. side: 48#1890:31,58,111. side: 52#1890:31. side: 64#1890:31. side: 248#1890:31,90, side: 438"
11847,1-1890,18900213_31-5,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=5,"Af Udvalget for Affattelsen af Valglister - se mødet den 2den f. M. - blev det oplyst, at der, efter at de ved den almindelige folketælling den 1ste d. M. benyttede lister ere indkomme og optalte, her i Kommunen er 2404 steder med følgende folketal:
Efter hovedlisten:
Mandkjøn ...............................15699
Kvindekjøn..............................17038
------------------------------------------------------32737
Efter Tillægslisten B (midlertidig fraværende personer):
Mandkjøn ..................................220
Kvindekjøn...................................94
----------------------------------------------------------314
hvorefter Kommunens folketal den 1ste d. M. var 
..................................................................33051
dag efter hovedlisten som anført .............32737
Efter Tillægs-listen A ()midlertidig her sig opholdende personer):
Mandkjøn ..................................290
Kvindekjøn.................................252
---------------------------------------------------------542
Tilsammen antal af tilstedeværende personer ---------------------------------------------------------------33279
Med henvisning til dette folketal henledede Formanden opmærksomheden paa, at Byraadet ved forestaaende folketingsvalg vil være ude af stand til at efterkomme den i lov om valgene til Rigsdagen af 12te Juli 1867 § 23 indeholdte bestemmelse om, at de til medlemmer af Valgbestyrelsen skal i hver Kommune i valgfredsen blandt vedkommende Kommunalebestyrelses egne medlemmer vælges 1 medlem for hver 1500 indbyggere i Kommunen, idet Byraadet, iberegnet Formanden,",Folketælling.#Rigsdagsvalg.~Valgbestyrelse.,"1890:15,35. side: 108#1890:35, side: 457#1890:35, side: 518"
11848,1-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,"ikkun tæller 20 medlemmer, medens der efter Folketællingen vil udkræves 22 medlemmer af Valgbestyrelsen, valgte blandt Byraadets medlemmer. Det overdroges til Formanden at henlede Indenrigsministeriets opmærksomhed paa dette forhold og andrage om at faa meddelelse om, hvorledes man i denne henseende vil have at forholde sig.",,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11849,2-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,"efter forslag af Udvalget for Sygehuset vedtoges det at anskaffe nogle af Lægerne Lunddahl og Dahlerup foreslaaede gjenstande til brug ved børne-kliniken og øjen-klinikken for ubemidlede. Udgiften herved, der er anslaaet til ca. 100 Kr. afholdes af konto VII 5 c, der om fornødent forhøjes med et tilsvarnede beløb.",Børn.~Børneklinik.#Sundhedsvæsen.~Sundhedsvæsen i Almindelighed.,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11850,8-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,"Efter indstilling fra Indkvarterings-kommissionen efterbevilgede Byraadet 247 Kr. 44Øre, med hvilket  beløb det af Kommunen og Intendanturen approberede udgiftsbudget for 1889 for Artillerikasernen er overskredet, hovedsagelig paa grund af, dels at der ved Artilleriets overtagelse af den ny Kaserne er tilkommet en ikke tidligere paaregnet vandafgift og dels at det betydelig større ny Etabilsesment har krævet en større udgift til belysning ved gas end det gamle.
(Se mødet den 16de f. M. og herefter den 13de Marts.)",#Indkvartering.,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11851,15-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,"Da Udvalget for Restancelisters gjennemgaaelse havde oplyst, at der efter den i efteraaret 1889 affattede ligning var 27 af Arbejdernes Sygeforenings 153 medlemmer, der vare ansatte til en anslaaet indtægt af 1000 Kr. og derover, besluttede man at bevilge denne Forenings i mødet den 16de f. M. foreliggende anddragende saaledes, at der udbetales den 4 Kr. for hvert af dens tilbageblivende 126 medlemmer, eller i alt 504 Kroner.",#Sundhedsvæsen.~Sygekasser (jfr. ”Foreninger” under ”foreningen af Haandværkere og Fabriksarbejdere”).,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11852,20-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,"Et fra ""Danmarks Total-afholdsforening"" foreliggende anddragende om understøttelse fandt Byraadet ikke anledning til at bevilge, da Kommunen allerede bidrager til den herværende lokale Forening af samme art.",#Foreninger.~Afholdsforeninger.,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11853,24-1890,18900213_31-6,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=6,Fra Udvalget for Brolægnings-væsenet var der under 11te d. M. modtaget erklæring over Politimesterens i forrige møde foreliggende indstilling om færdselsforholdene i,#Gader.~Færdslen.,"1890:36. side: 86#1890:36, side: 109#1890:30,36,93,229. side: 189#1890:15,36. side: 523#1890:22,36, side: 540"
11854,24-1890,18900213_31-7,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=7,"St. Olufsgade ud for Snedker Christiansens ejendom, men da Formanden oplyste, at Snedker Christiansen havde bebudet, at det paaklagede forhold mulig kunde bortfalde ved nogle af han paatænkte Bygnings-foretagender, besluttede man foreløbig at udsætte sagen. (Se mødet den 24de April.)",,"1890:31,37. side: 48#1890:37. side: 103#1890:37, side: 118#1890:37, side: 353#1890:37, side: 353#1890:37, side: 464"
11855,33-1890,18900213_31-7,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=7,"Fra Oversergent J. Sørensen forelaa der et fornyet andragende om erstatning for den ham ved branden i Bager Jensens ejendom tilføjede skade, idet han nu oplyser, at det paagjældende plankeværk er blevet nedrevet for at redde en i den brændende bygning værende hest tillige med en del høns.
Byraadet fandt imidlertid ikke grund til at fravige sin tidligere i denne sag tagne beslutning - se mødet den 30te f. M. - hvorfor det foreliggende andragende ikke kunde bevilges.",Brandvæsen.~Brandredskaber.,"1890:31,37. side: 48#1890:37. side: 103#1890:37, side: 118#1890:37, side: 353#1890:37, side: 353#1890:37, side: 464"
11856,43-1890,18900213_31-7,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=7,"Efter derom foreliggende anddragende, der er anbefalet af Udvalget for Fattighvæsenet, eftergav Byraadet Enken K. M. A. den hende efter mandens død i Juli maaned 1882 til August maaned 1884, da hjælpen ophørte, ydede Fattigunderstøttelse til et samlet beløb af 345 Kr. 85 Øre.
Det bemærkes, at andragerinden i sit andragende havde oplyst, at den her i staden værende forening til Konfirmanders opklædning havde tilsagt hende hjælp til hendes søns Konfirmation, saafremt hun kunde opnaa, at den hende ydede Fattighjælp, som hun ikke kunde betale, blev hende eftergivet.",#Fattigvæsen.~Fattighjælp.,"1890:31,37. side: 48#1890:37. side: 103#1890:37, side: 118#1890:37, side: 353#1890:37, side: 353#1890:37, side: 464"
11857,50-1890,18900213_31-7,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=7,"Til eftertoges en skrivelse af 7de d. m. fra Aarhus Haandværker-forening, hvori det oplyses, at der i forrige Aar af Legatet ""Admiral de Kriegers og Hustrus Minde"" er uddelt 2 understøttelses-portioner paa 72 Kr. og 11 paa 36 Kr. hver, samt at renten af de legatet tilhørende Dampskibs-akitier á 200 Kr. er tildelt 2 personer med 18 Kroner til hver, samt endvidere, at der i samme Aar af Slagtermester S. L. Hendrichsens og Hustrus Legat er udelt 4 understøttelses-portioner paa 10 Kr. hver.",#Foreninger.~Haandværkerforening.#Legater~Uddeling af Legatportioner.,"1890:31,37. side: 48#1890:37. side: 103#1890:37, side: 118#1890:37, side: 353#1890:37, side: 353#1890:37, side: 464"
11858,59-1890,18900213_31-7,https://storage.googleapis.com/openaws-webonly/18900213_31.pdf#page=7,til efterretning toges følgende fra Udvalget for Skolevæsenet fremkomne beretning om de i Aaret 1889 i Ris Skov udførte arbejder m. m.:,#Riis Skov.~Skovens Drift og Benyttelse.,"1890:31,37. side: 48#1890:37. side: 103#1890:37, side: 118#1890:37, side: 353#1890:37, side: 353#1890:37, side: 464"
